company|version|date|rating|count
airbnb|"1.1.2"|2011-08-19|5|1
airbnb|"1.2"|2011-08-19|4|1
airbnb|"1.2"|2011-08-19|5|1
airbnb|"1.2.1"|2011-08-19|5|1
airbnb|"1.2.1"|2011-08-20|1|1
airbnb|"1.2.1"|2011-08-20|4|1
airbnb|"1.2.1"|2011-08-20|5|1
airbnb|"1.1.2"|2011-08-21|5|1
airbnb|"1.2.1"|2011-08-21|2|1
airbnb|"1.2.1"|2011-08-21|5|2
airbnb|"1.2.1"|2011-08-22|5|1
airbnb|"1.2"|2011-08-24|5|1
airbnb|"1.2.1"|2011-08-24|4|1
airbnb|"1.2.1"|2011-08-24|5|3
airbnb|"1.2.1"|2011-08-26|2|1
airbnb|"1.2.1"|2011-08-26|3|1
airbnb|"1.2.1"|2011-08-26|5|1
airbnb|"1.1.1"|2011-08-28|5|1
airbnb|"1.2.1"|2011-08-29|4|1
airbnb|"1.2.1"|2011-08-31|5|2
airbnb|"1.2.1"|2011-09-02|5|2
airbnb|"1.2.1"|2011-09-03|5|1
airbnb|"1.2.1"|2011-09-04|4|1
airbnb|"1.2.1"|2011-09-04|5|2
airbnb|"1.2.1"|2011-09-05|4|2
airbnb|"1.2.1"|2011-09-06|5|2
airbnb|"1.2.1"|2011-09-07|5|2
airbnb|"1.2.1"|2011-09-08|5|5
airbnb|"1.2.1"|2011-09-10|5|2
airbnb|"1.1.2"|2011-09-12|5|1
airbnb|"1.2.1"|2011-09-12|5|1
airbnb|"1.2.1"|2011-09-13|4|1
airbnb|"1.2.1"|2011-09-13|5|2
airbnb|"1.2.1"|2011-09-14|5|2
airbnb|"1.2.2"|2011-09-14|5|2
airbnb|"1.2.2"|2011-09-15|5|3
airbnb|"1.2.2"|2011-09-17|5|1
airbnb|"1.2.2"|2011-09-19|5|1
airbnb|"1.2.2"|2011-09-20|5|1
airbnb|"1.2.2"|2011-09-21|5|2
airbnb|"1.2.2"|2011-09-22|5|1
airbnb|"1.2.2"|2011-09-23|5|1
airbnb|"1.2.2"|2011-09-24|5|2
airbnb|"1.2.2"|2011-09-25|5|2
airbnb|"1.2.2"|2011-09-26|5|1
airbnb|"1.1.1"|2011-09-29|5|1
airbnb|"1.2.2"|2011-10-02|4|1
airbnb|"1.2.2"|2011-10-02|5|1
airbnb|"1.2.2"|2011-10-03|5|1
airbnb|"1.2.2"|2011-10-06|5|1
airbnb|"1.2"|2011-10-08|5|1
airbnb|"1.2.2"|2011-10-08|4|1
airbnb|"1.2.2"|2011-10-08|5|1
airbnb|"1.2.2"|2011-10-10|4|1
airbnb|"1.2.2"|2011-10-10|5|1
airbnb|"1.2.2"|2011-10-11|4|1
airbnb|"1.2.2"|2011-10-11|5|1
airbnb|"1.2.1"|2011-10-12|5|1
airbnb|"1.1.2"|2011-10-13|4|1
airbnb|"1.2.2"|2011-10-14|4|1
airbnb|"1.2.2"|2011-10-15|3|1
airbnb|"1.2.2"|2011-10-16|5|1
airbnb|"1.1.2"|2011-10-17|5|1
airbnb|"1.2.2"|2011-10-18|5|3
airbnb|"1.2.2"|2011-10-19|5|2
airbnb|"1.2.1"|2011-10-20|4|1
airbnb|"1.2.2"|2011-10-20|2|1
airbnb|"1.2.2"|2011-10-20|5|1
airbnb|"1.2.2"|2011-10-21|3|1
airbnb|"1.2.2"|2011-10-21|5|2
airbnb|"1.2.1"|2011-10-22|5|1
airbnb|"1.2.2"|2011-10-23|5|1
airbnb|"1.1.2"|2011-10-24|4|1
airbnb|"1.2.2"|2011-10-24|5|1
airbnb|"1.2.2"|2011-10-26|4|1
airbnb|"1.2.2"|2011-10-26|5|1
airbnb|"1.1.2"|2011-10-27|5|1
airbnb|"1.2.2"|2011-10-27|5|1
airbnb|"1.2.3"|2011-10-28|4|1
airbnb|"1.2.3"|2011-10-28|5|1
airbnb|"1.2.3"|2011-10-29|5|1
airbnb|"1.2.3"|2011-10-30|5|2
airbnb|"1.2.3"|2011-11-01|5|2
airbnb|"1.2.3"|2011-11-02|4|1
airbnb|"1.2.3"|2011-11-03|2|1
airbnb|"1.2.3"|2011-11-03|5|1
airbnb|"1.2.3"|2011-11-05|4|1
airbnb|"1.2.3"|2011-11-06|5|1
airbnb|"1.2.3"|2011-11-07|3|1
airbnb|"1.2.3"|2011-11-07|4|1
airbnb|"1.2.3"|2011-11-07|5|1
airbnb|"1.2.3"|2011-11-12|5|2
airbnb|"1.2.3"|2011-11-13|5|1
airbnb|"1.2.3"|2011-11-15|3|1
airbnb|"1.2.3"|2011-11-15|4|1
airbnb|"1.2.3"|2011-11-16|4|1
airbnb|"1.2.3"|2011-11-17|5|2
airbnb|"1.2.3"|2011-11-18|5|2
airbnb|"1.2.3"|2011-11-19|5|3
airbnb|"1.2.3"|2011-11-20|5|4
airbnb|"1.2.3"|2011-11-21|5|2
airbnb|"1.2.3"|2011-11-22|5|1
airbnb|"1.2.3"|2011-11-23|5|1
airbnb|"1.2.3"|2011-11-25|3|1
airbnb|"1.2.3"|2011-11-26|5|1
airbnb|"1.2.3"|2011-11-27|4|1
airbnb|"1.2.3"|2011-11-27|5|1
airbnb|"1.2.3"|2011-11-28|5|2
airbnb|"1.2.3"|2011-12-02|5|1
airbnb|"1.2.3"|2011-12-03|5|2
airbnb|"1.2.3"|2011-12-04|4|1
airbnb|"1.2.3"|2011-12-04|5|2
