company|version|date|rating|count
airbnb|"1.3.0"|4|2012-04-11|1
airbnb|"1.3.0"|4|2012-04-15|1
airbnb|"1.3.0"|4|2012-04-16|1
airbnb|"1.3.0"|4|2012-04-25|1
airbnb|"1.3.0"|4|2012-04-26|1
airbnb|"1.3.0"|4|2012-05-24|2
airbnb|"1.3.0"|5|2012-03-18|1
airbnb|"1.3.0"|5|2012-03-19|1
airbnb|"1.3.0"|5|2012-03-21|2
airbnb|"1.3.0"|5|2012-03-23|1
airbnb|"1.3.0"|5|2012-03-24|2
airbnb|"1.3.0"|5|2012-03-25|3
airbnb|"1.3.0"|5|2012-03-26|3
airbnb|"1.3.0"|5|2012-03-27|2
airbnb|"1.3.0"|5|2012-03-29|1
airbnb|"1.3.0"|5|2012-03-31|1
airbnb|"1.3.0"|5|2012-04-04|1
airbnb|"1.3.0"|5|2012-04-05|1
airbnb|"1.3.0"|5|2012-04-06|1
airbnb|"1.3.0"|5|2012-04-07|1
airbnb|"1.3.0"|5|2012-04-08|1
airbnb|"1.3.0"|5|2012-04-09|2
airbnb|"1.3.0"|5|2012-04-10|1
airbnb|"1.3.0"|5|2012-04-14|1
airbnb|"1.3.0"|5|2012-04-16|1
airbnb|"1.3.0"|5|2012-04-18|2
airbnb|"1.3.0"|5|2012-04-19|1
airbnb|"1.3.0"|5|2012-04-20|1
airbnb|"1.3.0"|5|2012-04-22|1
airbnb|"1.3.0"|5|2012-04-23|1
airbnb|"1.3.0"|5|2012-04-24|2
airbnb|"1.3.0"|5|2012-04-25|3
airbnb|"1.3.0"|5|2012-04-26|1
airbnb|"1.3.0"|5|2012-04-27|2
airbnb|"1.3.0"|5|2012-04-29|1
airbnb|"1.3.0"|5|2012-04-30|1
airbnb|"1.3.0"|5|2012-05-26|1
airbnb|"1.3.0"|5|2012-06-27|1
airbnb|"1.4.0"|4|2012-05-25|1
airbnb|"1.4.0"|4|2012-05-26|4
airbnb|"1.4.0"|4|2012-05-27|1
airbnb|"1.4.0"|5|2012-05-25|1
airbnb|"1.4.0"|5|2012-05-26|7
airbnb|"1.4.0"|5|2012-05-27|1
airbnb|"1.4.0"|5|2012-05-28|2
airbnb|"1.4.0"|5|2012-05-29|2
airbnb|"1.4.2"|3|2012-06-13|1
airbnb|"1.4.2"|3|2012-06-16|1
airbnb|"1.4.2"|5|2012-06-13|1
airbnb|"1.4.2"|5|2012-06-18|1
airbnb|"1.4.2"|5|2012-06-21|1
airbnb|"1.4.2"|5|2012-06-28|1
airbnb|"2.0.0"|1|2012-06-15|2
airbnb|"2.0.0"|1|2012-07-07|2
airbnb|"2.0.0"|1|2012-07-18|1
airbnb|"2.0.0"|2|2012-06-13|1
airbnb|"2.0.0"|2|2012-06-14|1
airbnb|"2.0.0"|2|2012-07-01|1
airbnb|"2.0.0"|2|2012-07-02|1
airbnb|"2.0.0"|3|2012-06-13|1
airbnb|"2.0.0"|3|2012-06-21|1
airbnb|"2.0.0"|3|2012-06-22|2
airbnb|"2.0.0"|3|2012-07-02|1
airbnb|"2.0.0"|4|2012-06-15|1
airbnb|"2.0.0"|4|2012-06-19|2
airbnb|"2.0.0"|4|2012-06-27|1
airbnb|"2.0.0"|4|2012-07-01|3
airbnb|"2.0.0"|4|2012-07-02|1
airbnb|"2.0.0"|4|2012-07-11|1
airbnb|"2.0.0"|5|2012-06-13|2
airbnb|"2.0.0"|5|2012-06-14|1
airbnb|"2.0.0"|5|2012-06-15|5
airbnb|"2.0.0"|5|2012-06-16|3
airbnb|"2.0.0"|5|2012-06-17|4
airbnb|"2.0.0"|5|2012-06-18|1
airbnb|"2.0.0"|5|2012-06-19|2
airbnb|"2.0.0"|5|2012-06-20|3
airbnb|"2.0.0"|5|2012-06-22|2
airbnb|"2.0.0"|5|2012-06-23|1
airbnb|"2.0.0"|5|2012-06-24|3
airbnb|"2.0.0"|5|2012-06-25|1
airbnb|"2.0.0"|5|2012-06-26|1
airbnb|"2.0.0"|5|2012-06-27|1
airbnb|"2.0.0"|5|2012-06-28|1
airbnb|"2.0.0"|5|2012-06-29|4
airbnb|"2.0.0"|5|2012-06-30|3
airbnb|"2.0.0"|5|2012-07-01|3
airbnb|"2.0.0"|5|2012-07-03|2
airbnb|"2.0.0"|5|2012-07-04|1
airbnb|"2.0.0"|5|2012-07-08|1
